Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
W092	7.0525	256	5.8008	6.89	1.29	23.99	0.07	4.28	0.05	746245.1566	2318800	1453257.143	60.1912533	19.11769	Winter	Mesohaline	Hypolimneon	intermediate
W093	5.449	1	1.0094	11.55	0.35	18.92	0.04	3.45	0.12	886869.8459	6358000	4530742.857	62.14406	19.7181517	Winter	Mesohaline	Surface	normal
W095	6.2736	113	4.295	6.72	0.27	35.76	0.4	5.21	0.16	739297.77	2831714.286	1538742.857	62.14406	19.7181517	Winter	Mesohaline	Hypolimneon	intermediate
W096	5.5183	1	0.9732	11.63	0.3	18.33	0.02	3.64	0	863632.0352	7586857.143	5396285.714	62.5871883	19.9681967	Winter	Mesohaline	Surface	normal
W097	5.5455	49	1.2734	11.45	0.3	17.39	0.02	3.55	0.01	851773.5648	7458628.571	4990228.571	62.5871883	19.9681967	Winter	Mesohaline	Hypolimneon	normal
W098	5.7164	80	3.2123	10.15	0.44	19.61	0.04	3.4	0.01	823984.0181	3761371.429	2618000	62.5871883	19.9681967	Winter	Mesohaline	Hypolimneon	normal
W099	6.3161	130	4.5052	7.15	1.06	32.07	0.09	4.57	0.55	702404.751	2008914.286	1068571.429	62.5871883	19.9681967	Winter	Mesohaline	Hypolimneon	intermediate
W102	5.5399	1	0.2408	11.81	0.02	16.95	0.06	4.25	0.4	889265.4965	8986685.714	4445257.143	63.0417033	20.4862017	Winter	Mesohaline	Surface	normal
W103	5.5486	15	0.6334	11.65	0.02	16.9	0.05	4.04	0.42	947360.0231	6625142.857	4712400	63.0417033	20.4862017	Winter	Mesohaline	Hypolimneon	normal
W104	5.5521	20	0.7636	11.56	0.02	13.35	0.05	3.74	0.05	872495.9424	6945714.286	4434571.429	63.0417033	20.4862017	Winter	Mesohaline	Hypolimneon	normal
W105	5.5709	50	1.4899	11.39	0.02	12.91	0.04	2.89	0.39	894056.7976	8281428.571	4242228.571	63.0417033	20.4862017	Winter	Mesohaline	Hypolimneon	normal
W107	5.0864	1	-0.081	11.67	0.9	22.22	0.03	8.09	0.12	?	10236914.29	6261828.571	59.86585	25.63252	Winter	Mesohaline	Surface	normal
W109	9.0937	70	5.5553	2.22	2.53	46.4	0.02	5.37	0.13	1098645.357	3034742.857	1228857.143	59.86585	25.63252	Winter	Marine	Hypolimneon	low
W111	5.2415	1	0.0552	11.95	0.85	18.13	0.04	6.78	0.11	1117570.997	9328628.571	5524514.286	59.8035867	24.8498333	Winter	Mesohaline	Surface	normal
W112	5.3045	15	0.2895	11.76	0.88	18.03	0.03	8.22	0.65	1108707.09	8537885.714	5342857.143	59.8035867	24.8498333	Winter	Mesohaline	Hypolimneon	normal
W113	6.2415	35	1.3707	11.31	0.78	15.57	0.05	5.43	0	431456.67	2308114.286	1325028.571	59.8035867	24.8498333	Winter	Mesohaline	Hypolimneon	normal
W114	6.9284	50	3.4623	9.86	0.9	16.95	0.02	4.68	0.07	391449.3053	NA	NA	59.8035867	24.8498333	Winter	Mesohaline	Hypolimneon	normal
W115	9.2898	70	5.4465	2.05	2.65	44.48	0.05	4.17	0.05	954307.4098	NA	NA	59.8035867	24.8498333	Winter	Marine	Hypolimneon	low
W117	5.8568	15	0.8682	11.54	0.81	13.3	0.07	7.7	0.05	770441.2275	NA	NA	59.6835933	23.998945	Winter	Mesohaline	Hypolimneon	normal
W118	7.1996	62	4.1059	9.38	0.9	12.61	0.01	4.56	0.05	353358.461	1239542.857	641142.8571	59.6835933	23.998945	Winter	Mesohaline	Hypolimneon	normal
W121	6.4232	15	1.6065	11.28	0.78	15.17	0.05	6.42	0	428462.1068	NA	NA	59.6835933	23.998945	Winter	Mesohaline	Hypolimneon	normal
W122	9.1981	65	5.6589	2.5	2.53	39.85	0	4.79	0	286639.5923	320571.4286	213714.2857	59.6835933	23.998945	Winter	Marine	Hypolimneon	low
W124	6.3365	2	1.3668	11.47	0.88	11.18	0.12	6.45	0.27	526563.9982	2532514.286	1837942.857	59.5004483	21.0005917	Winter	Mesohaline	Surface	normal
W125	6.4353	20	1.5345	11.36	0.85	14.09	0.09	5.3	0.06	383663.4409	NA	NA	59.5004483	21.0005917	Winter	Mesohaline	Hypolimneon	normal
W126	6.5645	45	2.0005	11.06	0.78	11.33	0.08	6.33	0.04	361743.2381	NA	NA	59.5004483	21.0005917	Winter	Mesohaline	Hypolimneon	normal
W127	6.7466	54	2.2519	10.74	0.78	10.59	0.08	5.31	0.25	429420.367	2030285.714	833485.7143	59.5004483	21.0005917	Winter	Mesohaline	Hypolimneon	normal
W128	6.9965	2	2.4857	11.09	0.35	13.05	0.11	4.26	0.11	341140.643	2414971.429	1186114.286	59.150305	21.3683933	Winter	Mesohaline	Surface	normal
W129	7.042	40	2.4158	11.02	0.35	13.2	0.12	4.66	0.08	317303.9197	2211942.857	1207485.714	59.150305	21.3683933	Winter	Mesohaline	Hypolimneon	normal
W134	7.4972	65	3.4963	10.33	0.67	7.04	0.04	3.59	4.22	504643.7953	10461314.29	5342857.143	58.3085	20.35035	Winter	Mesohaline	Hypolimneon	normal
W136	7.2293	15	3.0086	10.87	0.55	11.63	0.07	3.69	6.67	272026.1237	4883371.429	2703485.714	57.7833333	20.09	Winter	Mesohaline	Hypolimneon	normal
W137	7.2641	60	3.127	10.84	0.6	9.01	0.05	3.42	1.33	350363.8978	6935028.571	4242228.571	57.7833333	20.09	Winter	Mesohaline	Hypolimneon	normal
W141	7.327	2	3.131	11	0.57	10.92	0.06	1.89	0	404026.4708	NA	NA	57.305	20.0745	Winter	Mesohaline	Surface	normal
W142	7.329	25	3.133	11.02	0.62	10.1	0.06	2.16	0	469188.1667	14618057.14	7063257.143	57.305	20.0745	Winter	Mesohaline	Hypolimneon	normal
W143	8	60	4.468	9.34	0.9	14.21	0.05	2.77	0	534948.7752	9820171.429	5236000	57.305	20.0745	Winter	Mesohaline	Hypolimneon	normal
W145	7.3958	2.5	3.1604	11.1	0.57	10.75	0.06	4.01	0.05	594360.9097	19548445.71	8629782.857	56.8466667	19.7083333	Winter	Mesohaline	Surface	normal
W146	7.5639	45	3.3302	10.87	0.64	9.57	0.07	3.03	0.44	658564.3453	29607977.14	10463451.43	56.8466667	19.7083333	Winter	Mesohaline	Hypolimneon	normal
W149	7.5399	1.5	3.4009	10.97	0.59	9.98	0.06	2.88	0	529678.3439	NA	NA	55.9261333	18.991	Winter	Mesohaline	Surface	normal
W151	7.6202	60	3.511	10.84	0.69	9.14	0.09	3.24	0	558186.5859	34012628.57	9574400	55.9261333	18.991	Winter	Mesohaline	Hypolimneon	normal
W153	11.8423	108	7.4805	2.35	2.27	38.98	0.09	6.42	0	665871.0796	NA	NA	55.9261333	18.991	Winter	Marine	Hypolimneon	low
W155	7.449	1	3.3501	11.02	0.59	11.4	0.06	2.65	0	599152.2108	30571828.57	11412342.86	55.5493333	18.4008333	Winter	Mesohaline	Surface	normal
W156	7.4688	45	3.4081	10.97	0.64	11.34	0.05	2.76	0.18	542015.9444	27825600	11081085.71	55.5493333	18.4008333	Winter	Mesohaline	Hypolimneon	normal
W159	7.5086	1	2.8529	11.49	0.6	12.19	0.15	5.32	0.98	998746.7281	38447200	19180857.14	54.8662167	19.2839833	Winter	Mesohaline	Surface	normal
W160	7.7555	60	3.2825	10.72	0.72	9.55	0.03	3.52	0	661918.2561	25485428.57	10204857.14	54.8662167	19.2839833	Winter	Mesohaline	Hypolimneon	normal
W163	7.6214	2	3.3118	10.88	0.63	7.31	0.07	3.34	0.27	668266.7302	33115028.57	12384742.86	55.2785	17.80705	Winter	Mesohaline	Surface	normal
W165	12.2316	70	7.7272	5.06	1.42	19.25	0.03	6.14	1.15	671740.4235	3804114.286	1709714.286	55.2785	17.80705	Winter	Marine	Hypolimneon	intermediate
W166	13.2548	78	8.5959	4.26	1.54	22.39	0.04	7.2	0.16	611010.6812	3077485.714	1410514.286	55.2785	17.80705	Winter	Marine	Hypolimneon	low
W167	7.8562	1.5	3.1992	11.01	0.59	7.8	0.12	2.96	0.11	930470.6865	46311885.71	20313542.86	55.2498	15.9839333	Winter	Mesohaline	Surface	normal
W172	7.7967	30	2.8407	11.11	0.61	10.9	0.2	1.95	0.71	901243.7494	30956514.29	16381200	54.8569667	15.3823833	Winter	Mesohaline	Hypolimneon	normal
W173	12.5279	65	8.8451	3.94	1.53	30.65	0.03	5.88	0.82	563696.5822	NA	NA	54.8569667	15.3823833	Winter	Marine	Hypolimneon	low
W174	13.6383	68	9.2965	3.26	1.69	30.45	0.06	5.99	0	711987.3533	1325028.571	331257.1429	54.8569667	15.3823833	Winter	Marine	Hypolimneon	low
W176	8.1902	20	2.4873	11.15	0.56	8.2	0.31	1.73	1.15	723007.346	19672400	13111371.43	54.9253333	13.49965	Winter	Marine	Hypolimneon	normal
W177	12.813	42	2.6567	10.17	0.61	8.5	0.31	1.95	0.49	695577.1468	6101542.857	4391828.571	54.9253333	13.49965	Winter	Marine	Hypolimneon	normal
W178	15.6258	45	2.8652	10.16	0.49	4	0.17	0.31	0.93	526204.6506	5353542.857	3846857.143	54.9253333	13.49965	Winter	Marine	Hypolimneon	normal
W180	8.8387	30	2.2641	11.79	0.28	0.98	0.04	0	0.125	677729.55	9424800	7960857.143	55	13.4	Winter	Marine	Hypolimneon	normal
W181	12.6926	40	2.6153	10.46	0.59	6.73	0.28	2.16	31.04	720372.1303	7469314.286	5107771.429	55	13.4	Winter	Marine	Hypolimneon	normal
W182	7.9012	1.5	2.7084	NA	NA	NA	NA	NA	NA	1011683.241	NA	NA	54.8611833	13.27485	Winter	Mesohaline	Surface	normal
W183	8.175	20	2.4865	NA	NA	NA	NA	NA	NA	774992.9636	19116742.86	15451542.86	54.8611833	13.27485	Winter	Marine	Hypolimneon	normal
W184	11.0878	40	2.6556	NA	NA	NA	NA	NA	NA	647903.7002	7255600	5022285.714	54.8611833	13.27485	Winter	Marine	Hypolimneon	normal
W185	8.4508	1	2.7534	11.5	0.45	8	0.13	1.02	0	902561.3572	18614514.29	15857600	54.6952833	12.7073833	Winter	Marine	Surface	normal
W187	12.1742	19	2.8374	9.95	0.92	10.68	0.26	3.64	0.69	1042826.699	NA	NA	54.6952833	12.7073833	Winter	Marine	Hypolimneon	normal
W188	10.1182	5	2.604	11.94	0.24	0.78	0.04	0	0	741214.2904	5075714.286	7886057.143	54.3867167	12.1034833	Winter	Marine	Surface	normal
W190	16.1812	19	2.964	9.55	0.66	8.63	0.14	1.86	2.6	1278438.934	3045428.571	1111314.286	54.3867167	12.1034833	Winter	Marine	Hypolimneon	normal
