Lib	salinity	Depth	Temperature	O2	PO4	SiO2	NO2	NO3	NH4	Tbact	Synechococcus	Chla_Picoeuk.	Latitude	Longitude	Season	Salinity_cat	Depth_cat	Oxy_cat
S201	28.5738	20	14.5818	5.57	0.01	2	0	0.1	NA	3010000	139569561.2	NA	56.37	12.27	Summer	Marine	Hypolimneon	intermediate
S203	20.4023	1	17.2077	6.23	0	1.4	0	0.01	NA	3630000	53757236.23	NA	56.7	11.08	Summer	Marine	Surface	intermediate
S204	21.4669	5.5	16.6596	6.17966	NA	NA	NA	NA	NA	3910000	63422035.48	NA	56.7	11.08	Summer	Marine	Surface	intermediate
S205	26.9444	10	14.4679	5.49139	NA	NA	NA	NA	NA	3850000	131260504.2	NA	56.7	11.08	Summer	Marine	Surface	intermediate
S206	26.6409	13	14.6162	5.48	0.06	4.2	0.01	0.06	NA	4180000	125149393.1	NA	56.7	11.08	Summer	Marine	Hypolimneon	intermediate
S207	19.1686	1	18.2045	5.91	0	0.3	0	0.01	NA	3520000	31028011.2	NA	56.88	11.94	Summer	Marine	Surface	intermediate
S209	30.0855	20	14.1513	5.45	0.07	2.3	0.11	0.51	NA	2550000	64253968.25	NA	56.88	11.94	Summer	Marine	Hypolimneon	intermediate
S21	11.168	60	5.6525	4.79	1.23	24.6	0.06	5.22	NA	509000	3615312.792	NA	55.5	15.6	Summer	Marine	Hypolimneon	low
S210	33.767	41	7.3517	4.71	0.8	16.6	0.31	9.12	NA	3040000	8165266.106	NA	56.88	11.94	Summer	Marine	Hypolimneon	low
S211	23.7792	1	17.4289	5.72	0	1	0	0.12	0.21	3100000	63997198.88	0.8	57.2	11.17	Summer	Marine	Surface	intermediate
S213	30.9018	20	13.7184	5.38	0.07	2	0.18	0.47	0.36	2390000	39840336.13	1.14	57.2	11.17	Summer	Marine	Hypolimneon	intermediate
S214	33.0197	40	9.8329	5.07	0.5	9.2	0.39	6.83	0.15	2640000	4046685.341	NA	57.2	11.17	Summer	Marine	Hypolimneon	intermediate
S215	34.0577	66	7.6032	4.67	0.89	17.2	0.2	10.03	0.24	2640000	4560224.09	NA	57.2	11.17	Summer	Marine	Hypolimneon	low
S216	26.9297	1	17.0214	5.9	0.04	1.2	0	0.14	NA	3370000	77811391.22	NA	57.68	11.1	Summer	Marine	Surface	intermediate
S218	30.9982	20	14.7874	5.68	0.01	1.8	0.02	0.18	NA	1930000	44082166.2	NA	57.68	11.1	Summer	Marine	Hypolimneon	intermediate
S219	31.9054	25	14.3649	5.59358	NA	NA	NA	NA	NA	1920000	13916900.09	NA	57.68	11.1	Summer	Marine	Hypolimneon	intermediate
S220	32.5112	34	14.3081	5.31	0.13	4	0.07	0.8	NA	1960000	6860877.684	NA	57.68	11.1	Summer	Marine	Hypolimneon	intermediate
S221	30.6325	1	16.5661	5.71	0	0.9	0	0.08	0.39	3410000	48611577.96	0.32	58.15	10.28	Summer	Marine	Surface	intermediate
S222	33.5121	20	10.2054	7.31	0.01	0.3	0	0.08	0.21	6610000	205682539.7	1.7	58.15	10.28	Summer	Marine	Hypolimneon	intermediate
S223	35.1656	60	7.6167	5.88	0.74	4.1	0.03	10.01	0.17	1450000	1478991.597	NA	58.15	10.28	Summer	Marine	Hypolimneon	intermediate
S224	35.1656	100	7.6167	5.88	0.74	4.1	0.03	10.01	0.17	1450000	1478991.597	NA	58.15	10.28	Summer	Marine	Hypolimneon	intermediate
S225	35.2095	179	7.0625	5.84	0.93	7.1	0.06	11.42	0.23	1110000	564892.6237	NA	58.15	10.28	Summer	Marine	Hypolimneon	intermediate
S226	30.9177	1	16.8693	5.88	0.01	1	0	0.13	0.24	NA	NA	0.7	58.35	10.3	Summer	Marine	Surface	intermediate
S227	33.8274	20	9.7954	6.75	0.01	0.6	0	0.1	0.21	NA	NA	2.11	58.35	10.3	Summer	Marine	Hypolimneon	intermediate
S24	7.491	40	4.7842	7.63	0.49	14.7	0.01	0	NA	596000	14512605.04	NA	55.3	17.8	Summer	Mesohaline	Hypolimneon	intermediate
S25	8.2662	60	4.7918	6.2	1.13	21.5	0.28	2.47	NA	492000	4211017.74	NA	55.3	17.8	Summer	Marine	Hypolimneon	intermediate
S26	11.2688	70	5.9248	3.72	1.54	32.8	0.04	6.99	NA	598000	4241830.065	NA	55.3	17.8	Summer	Marine	Hypolimneon	low
S27	7.2261	10	15.2897	7.31	0.11	15	0.01	0.02	0.19	2880000	417630252.1	6.38	54.9	19.3	Summer	Mesohaline	Surface	intermediate
S28	7.4746	40	4.7532	7.59	0.45	14.8	0.01	0.01	0.23	495000	7682539.683	NA	54.9	19.3	Summer	Mesohaline	Hypolimneon	intermediate
S29	8.3788	70	4.7477	5.09	1.49	26.2	0.1	5.72	0.67	620000	5135387.488	NA	54.9	19.3	Summer	Marine	Hypolimneon	intermediate
